Name;Words;Extraneous Words;Irrelevant Information;Sentences;Content Words;Syllables;XOR (Split);XOR (Join);AND (Split);AND (Join);Tasks;Correctness;HasMissingGateways;Words per Sentence;Irrelevant Information score;Extraneous Words Score;Content Words Score;Words per Task;HasMissingTasks
Änderungen;45;18;4;4;20;117;1;1;;;3;1.5;1;11.25;0.088888889;0.4;0.444444444;15;0
Cancel;34;7;9;7;20;83;;;;;4;1;;4.857142857;0.264705882;0.205882353;0.588235294;8.5;0
Hochziehen einer Solution;52;27;7;5;28;126;;;;;3;1.5;;10.4;0.134615385;0.519230769;0.538461538;17.33333333;0
JobVerarbeiten;84;32;24;6;34;196;;;1;1;5;2;1;14;0.285714286;0.380952381;0.404761905;16.8;0
LockMode;75;33;22;7;28;154;;;;;2;2;;10.71428571;0.293333333;0.44;0.373333333;37.5;0
Sitzung;53;26;17;4;14;110;;;;;2;2;;13.25;0.320754717;0.490566038;0.264150943;26.5;1
Ekpr_import_schnittstelle;54;15;10;7;28;108;3;3;;;6;1.5;1;7.714285714;0.185185185;0.277777778;0.518518519;9;1
SignaturVorgang;21;9;1;1;9;41;1;1;;;2;2;1;21;0.047619048;0.428571429;0.428571429;10.5;0
Reperatur;67;28;10;6;37;127;1;1;;;11;2;1;11.16666667;0.149253731;0.417910448;0.552238806;6.090909091;0
TraceNummer;54;28;20;4;26;106;;;;;4;2;;13.5;0.37037037;0.518518519;0.481481481;13.5;1
Notebook_Aufsetzen;68;31;11;10;35;111;;;;;8;1;;6.8;0.161764706;0.455882353;0.514705882;8.5;0
TransportmittelFürFahrtenbuch;28;11;6;3;16;78;1;1;;;2;2;0;9.333333333;0.214285714;0.392857143;0.571428571;14;0
Inventur;58;22;19;8;34;137;1;1;;;4;1;1;7.25;0.327586207;0.379310345;0.586206897;14.5;0
BMD_updates;67;31;6;6;31;127;1;1;;;5;1.5;1;11.16666667;0.089552239;0.462686567;0.462686567;13.4;0
Fakturen;67;27;16;5;31;146;1;1;;;3;2;0;13.4;0.23880597;0.402985075;0.462686567;22.33333333;0
KommSchein;67;28;4;4;30;163;2;2;;;5;1;0;16.75;0.059701493;0.417910448;0.447761194;13.4;0
Zugriff_DOT;171;73;26;12;72;371;;;1;1;5;2.5;1;14.25;0.152046784;0.426900585;0.421052632;34.2;0
vkpr_import_schnittstelle;46;13;9;8;27;97;1;1;;;4;1.5;0;5.75;0.195652174;0.282608696;0.586956522;11.5;0
Benutzerberechtigungen;76;32;13;5;25;183;1;1;;;1;1.5;0;15.2;0.171052632;0.421052632;0.328947368;76;0
Architektur_Aus_Anwendersicht;146;69;44;9;41;298;;;;;4;3;;16.22222222;0.301369863;0.47260274;0.280821918;36.5;0
Nachrichten;75;36;21;7;23;146;1;1;;;5;1.5;0;10.71428571;0.28;0.48;0.306666667;15;0
Klumpat_Attribut;35;12;7;4;21;104;1;1;;;2;1.5;0;8.75;0.2;0.342857143;0.6;17.5;0
Auswahldialog;70;22;12;14;47;194;;;;;11;2.5;;5;0.171428571;0.314285714;0.671428571;6.363636364;0
löschen;26;15;3;1;7;50;2;2;;;2;1;1;26;0.115384615;0.576923077;0.269230769;13;0
inventurstorno;59;17;10;11;38;120;1;1;;;9;2;0;5.363636364;0.169491525;0.288135593;0.644067797;6.555555556;0
spl_Termin_neuberechnen;60;15;17;10;39;144;;;;;5;2.5;;6;0.283333333;0.25;0.65;12;0
JobVerarbeitung_auslösen;147;42;35;18;56;319;;;;;9;2;;8.166666667;0.238095238;0.285714286;0.380952381;16.33333333;0
Debitor;32;2;5;13;27;86;;;;;10;2.5;;2.461538462;0.15625;0.0625;0.84375;3.2;0
ViewUnitRetrieveType;93;38;15;6;53;218;1;1;;;2;2.5;0;15.5;0.161290323;0.408602151;0.569892473;46.5;0
MarkdownFile;23;12;4;3;10;51;;;;;3;1;;7.666666667;0.173913043;0.52173913;0.434782609;7.666666667;0
Datencontext;121;51;11;10;54;268;1;1;;;5;2.5;0;12.1;0.090909091;0.421487603;0.446280992;24.2;0
db_export;89;28;38;7;52;203;;;;;2;3;;12.71428571;0.426966292;0.314606742;0.584269663;44.5;0
speichern_neuanlage;61;25;12;4;31;103;2;2;;;4;2.5;0;15.25;0.196721311;0.409836066;0.508196721;15.25;1
DatenobjekttypFürAnweisung;17;6;6;2;10;60;;;;;1;2.5;;8.5;0.352941176;0.352941176;0.588235294;17;0
Kassa;39;11;5;9;26;76;1;1;;;6;2;0;4.333333333;0.128205128;0.282051282;0.666666667;6.5;0
Auftragsanlage;164;51;31;19;74;326;;;;;5;2.5;;8.631578947;0.18902439;0.31097561;0.451219512;32.8;0
Job_wartezeitfürwiederausführung;54;19;9;6;32;194;1;1;;;4;3;0;9;0.166666667;0.351851852;0.592592593;13.5;0
Transaktion;16;7;4;2;10;38;;;;;1;1.5;;8;0.25;0.4375;0.625;16;0
speichern_änderungsmodus;54;23;7;3;23;110;1;1;;;2;1.5;0;18;0.12962963;0.425925926;0.425925926;27;0
Solution_releasen;318;119;35;28;147;635;;;;;7;1.5;;11.35714286;0.110062893;0.374213836;0.462264151;45.42857143;0
Deploy_Ordner;537;166;143;56;300;1074;;;;;7;3;;9.589285714;0.266294227;0.309124767;0.558659218;76.71428571;0
BsIndikator;34;12;7;4;20;87;1;1;;;2;2;0;8.5;0.205882353;0.352941176;0.588235294;17;0
Warenbeschaffung;103;27;38;11;40;208;3;3;;;4;1.5;0;9.363636364;0.368932039;0.262135922;0.388349515;25.75;0
Fehlerbehandlung;47;19;10;2;21;90;1;1;;;4;2;0;23.5;0.212765957;0.404255319;0.446808511;11.75;0
Verkaufspreisfindung;312;100;114;23;143;679;1;1;;;8;2.5;0;13.56521739;0.365384615;0.320512821;0.458333333;39;0
Kommissionierung;175;79;29;14;76;336;;;;;7;1.5;;12.5;0.165714286;0.451428571;0.434285714;25;0
Saisonware;74;36;24;5;30;157;;;;;3;2.5;;14.8;0.324324324;0.486486486;0.405405405;24.66666667;0
Sql_Phase1_2_3;88;27;48;7;45;83;;;;;3;2.5;;12.57142857;0.545454545;0.306818182;0.511363636;29.33333333;0
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
