Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
Architektur_Aus_Anwendersicht;Aau;Anon1;0;11;2;12;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Auftragsanlage;Aau;Anon1;1;;;;;;;;;;;;;;;;;
Auswahldialog;Aau;Anon1;0;12;2;19;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Benutzerberechtigungen;Aau;Anon1;0;4;2;8;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
BMD_updates;Aau;Anon1;0;5;2;18;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
BsIndikator;Aau;Anon1;0;2;2;6;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Cancel;Aau;Anon1;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Datencontext;Aau;Anon1;0;10;2;17;0;0;0;0;0,0000;0,1000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
DatenobjekttypFürAnweisung;Aau;Anon1;0;3;2;4;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
db_export;Aau;Anon1;0;10;2;11;0;0;0;0;0,0000;0,2000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0909
Debitor;Aau;Anon1;0;12;2;16;0;0;0;0;0,0000;0,1667;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Deploy_Ordner;Aau;Anon1;0;9;2;16;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Ekpr_import_schnittstelle;Aau;Anon1;0;7;2;11;0;0;0;0;0,1667;0,2857;1,0000;1,0000;0,0000;0,0000;0,2000;1,0000;0,0000;0,0000
Fakturen;Aau;Anon1;0;11;2;15;0;0;0;0;0,0000;0,2727;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0667
Fehlerbehandlung;Aau;Anon1;0;6;2;15;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Hochziehen einer Solution;Aau;Anon1;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
inventurstorno;Aau;Anon1;0;10;2;20;0;0;0;0;0,0000;0,1000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
inventur;Aau;Anon1;0;6;2;10;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
JobVerarbeiten;Aau;Anon1;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
JobVerarbeitung_auslösen;Aau;Anon1;0;7;2;11;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Job_wartezeitfürwiederausführung;Aau;Anon1;0;5;2;11;0;0;0;0;0,5000;0,4000;1,0000;1,0000;0,0000;0,0000;0,5000;1,0000;0,0000;0,0000
Kassa;Aau;Anon1;0;10;2;24;0;0;0;0;0,0000;0,2000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Klumpat_Attribut;Aau;Anon1;0;3;2;7;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Kommissionierung;Aau;Anon1;0;19;2;32;0;0;0;0;0,1429;0,1053;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
KommSchein;Aau;Anon1;0;6;2;13;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
LockMode;Aau;Anon1;0;5;2;9;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
löschen;Aau;Anon1;0;6;2;16;0;0;0;0;0,5000;0,3333;1,0000;1,0000;0,0000;0,0000;0,5000;1,0000;0,0000;0,0000
MarkdownFile;Aau;Anon1;0;4;2;5;0;0;0;0;0,0000;0,7500;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,6000
Nachrichten;Aau;Anon1;0;7;2;8;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
Notebook_Aufsetzen;Aau;Anon1;0;9;2;13;0;0;0;0;1,0000;0,8889;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,3333;0,2308
Reperatur;Aau;Anon1;0;8;2;12;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Saisonware;Aau;Anon1;0;8;2;9;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
SignaturVorgang;Aau;Anon1;0;2;2;3;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
Sitzung;Aau;Anon1;0;3;2;7;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Solution_releasen;Aau;Anon1;0;13;2;22;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
speichern_neuanlage;Aau;Anon1;0;4;2;11;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
speichern_änderungsmodus;Aau;Anon1;0;3;2;7;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
spl_Termin_neuberechnen;Aau;Anon1;0;8;2;14;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Sql_Phase1_2_3;Aau;Anon1;0;7;2;14;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
TraceNummer;Aau;Anon1;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Transaktion;Aau;Anon1;0;3;2;4;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
TransportmittelFürFahrtenbuch;Aau;Anon1;0;3;2;7;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Verkaufspreisfindung;Aau;Anon1;1;;;;;;;;;;;;;;;;;
ViewUnitRetrieveType;Aau;Anon1;0;5;2;12;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
vkpr_import_schnittstelle;Aau;Anon1;1;;;;;;;;;;;;;;;;;
Warenbeschaffung;Aau;Anon1;0;7;2;17;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Zugriff_DOT;Aau;Anon1;0;11;2;15;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Änderungen;Aau;Anon1;0;6;2;10;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
